"treatment","spp","Df","chisq_anet","p_anet","chisq_gsw","p_gsw","chisq_l","p_l","chisq_spad","p_spad"
"gm.trt","Tri",1,3.439,"0.064",0.123,"0.726",0.101,"0.75",0.061,"0.805"
"canopy","Tri",1,774.777,"<0.001",12.969,"<0.001",284.608,"<0.001",77.29,"<0.001"
"gm.trt:canopy","Tri",1,4.593,"0.032",0.864,"0.353",0.041,"0.839",4.602,"0.032"
"gm.trt","Mai",1,5.79,"0.016",9.28,"0.002",7.452,"0.006",1.486,"0.223"
"canopy","Mai",1,248.591,"<0.001",132.846,"<0.001",7.336,"0.007",332.987,"<0.001"
"gm.trt:canopy","Mai",1,0.301,"0.583",0.199,"0.656",5.204,"0.023",2.338,"0.126"
