"treatment","spp","Df","chisq_vcmax","p_vcmax","chisq_jmax","p_jmax","chisq_jvmax","p_jvmax"
"gm.trt","Tri",1,"2.697","0.101",5.348,"0.021",4.119,0.042
"canopy","Tri",1,"1548.739","<0.001",1532.685,"<0.001",11.226,0.001
"gm.trt:canopy","Tri",1,"3.915","0.048",5.965,"0.015",1.576,0.209
"gm.trt","Mai",1,"<0.001","0.992",0.004,"0.948",0.181,0.671
"canopy","Mai",1,"260.475","<0.001",310.714,"<0.001",0.928,0.335
"gm.trt:canopy","Mai",1,"0.417","0.519",0.006,"0.937",2.07,0.15
