"treatment","Df","chisq_anet.tri","p_anet.tri","chisq_gsw.tri","p_gsw.tri","chisq_l.tri","p_l.tri","chisq_spad.tri","p_spad.tri","chisq_anet.mai","p_anet.mai","chisq_gsw.mai","p_gsw.mai","chisq_l.mai","p_l.mai","chisq_spad.mai","p_spad.mai"
"gm.trt",1,5.83,"0.016",0.148,"0.701",0.497,"0.481",0.3,"0.584",19.547,"<0.001",20.507,"<0.001",15.684,"<0.001",1.792,"0.181"
"canopy",1,1163.336,"<0.001",23.864,"<0.001",289.317,"<0.001",73.833,"<0.001",336.988,"<0.001",157.676,"<0.001",8.3,"0.004",285.711,"<0.001"
"gm.trt:canopy",1,4.833,"0.028",0.622,"0.43",0.132,"0.717",0.496,"0.481",0.012,"0.913",0.045,"0.831",5.094,"0.024",0.853,"0.356"
